distance_km,nb_commandes,temps_reel_minutes,cout_reel_dt
97.42,5,234,129.77
81.54,4,145,98.35
91.98,5,176,113.43
110.26,6,269,147.6
85.56,4,156,104.03
74.31,8,198,102.79
88.56,3,140,103.37
84.13,7,211,113.84
87.38,4,161,106.61
101.62,6,215,129.38
113.26,5,260,148.29
94.33,6,208,121.9
51.8,4,154,74.89
89.92,8,296,135.67
103.65,6,193,126.78
39.09,7,158,64.87
51.33,6,150,73.64
62.99,7,176,88.75
68.08,5,156,89.21
100.29,5,226,130.45
64.02,3,137,81.95
77.27,8,224,110.51
105.87,3,189,127.94
92.41,5,225,123.6
84.1,3,166,104.71
124.12,6,214,148.46
49.53,6,184,78.9
111.06,7,258,146.0
88.39,5,182,111.56
100.2,7,220,129.23
47.94,6,186,77.98
79.28,4,145,96.4
78.55,5,187,104.17
96.52,3,158,113.81
52.25,3,100,64.5
158.59,5,273,189.52
61.42,3,115,75.39
120.1,4,233,148.75
83.39,7,215,114.03
93.62,8,222,124.05
113.57,5,217,139.94
103.8,7,268,141.87
62.98,3,115,76.71
86.92,7,255,125.03
102.95,5,198,127.12
61.21,3,137,79.59
65.42,8,227,101.12
76.95,4,197,104.86
86.57,5,170,107.71
97.54,5,237,130.45
91.26,6,179,113.57
93.66,8,273,134.32
99.17,3,142,112.88
80.89,4,170,102.95
84.88,6,205,113.29
75.42,5,193,102.86
78.87,8,224,111.89
66.16,7,210,98.24
36.59,3,100,51.19
63.82,7,180,90.27
122.0,3,247,153.23
94.92,8,292,139.13
96.83,5,236,129.62
83.18,7,223,115.4
61.85,3,130,78.66
72.18,5,174,96.34
86.46,4,174,108.36
56.43,3,131,74.21
107.63,5,206,132.87
69.9,6,192,97.83
99.27,8,302,144.92
113.39,6,254,147.23
55.0,4,137,74.3
115.03,4,240,145.83
35.21,7,155,61.02
95.65,6,245,130.41
126.59,6,241,155.88
66.52,4,148,86.17
73.89,4,141,91.12
43.27,3,108,58.56
82.11,8,198,109.47
105.79,7,245,139.0
94.43,8,265,133.38
126.28,4,226,152.58
96.1,6,191,119.9
104.37,7,242,137.24
35.13,4,135,57.01
52.5,6,162,77.15
114.08,7,287,154.4
85.26,4,149,102.28
87.84,4,179,110.63
101.55,7,264,139.3
95.98,4,168,115.24
82.29,6,168,103.73
92.02,3,178,113.94
69.43,4,134,85.9
69.44,7,204,99.89
76.11,6,202,105.21
30.0,5,142,54.02
119.74,4,205,142.84
89.51,6,216,119.46
111.78,3,176,130.23
76.85,3,146,94.65
166.35,3,235,188.54
74.72,6,240,111.58
109.6,5,217,136.59
90.05,6,237,124.02
64.88,3,121,79.38
130.34,6,299,170.66
95.11,3,143,109.53
74.17,4,180,99.17
90.1,7,208,118.33
48.8,6,153,72.24
49.81,7,195,81.44
34.07,4,103,49.65
124.25,7,229,151.44
93.07,3,178,114.88
64.32,3,125,79.78
76.42,8,270,119.12
96.44,7,210,124.05
90.6,7,218,120.64
85.31,3,165,105.64
74.2,7,226,108.29
131.5,3,268,165.48
81.42,6,187,106.75
69.98,6,186,96.7
66.02,3,124,80.95
88.76,3,151,105.84
47.14,7,210,82.24
101.99,4,196,125.92
88.55,7,189,113.27
110.93,3,203,135.08
119.31,3,250,151.54
68.06,7,164,90.8
90.47,7,291,135.18
72.89,7,223,106.6
68.89,7,195,97.6
118.9,5,213,143.74
93.4,4,172,113.91
97.36,4,193,121.54
72.05,3,148,90.89
107.32,8,305,152.31
30.0,7,165,58.54
68.62,5,200,98.49
86.35,4,171,107.77
91.01,4,176,112.58
72.83,4,191,100.26
118.36,6,260,152.62
88.2,4,173,109.64
72.97,5,145,91.15
94.16,6,219,123.87
61.5,5,172,86.75
50.86,7,157,74.65
97.6,7,203,123.71
31.35,8,164,59.63
97.82,7,219,127.04
134.11,8,267,167.42
80.07,3,146,97.45
66.59,8,203,97.39
99.49,8,266,137.8
99.41,8,273,139.23
92.78,4,185,115.96
64.74,7,178,90.8
62.39,3,115,76.22
127.18,5,263,160.78
107.04,6,245,140.12
73.99,5,169,96.77
124.55,6,279,161.74
50.04,8,175,77.7
99.07,6,248,133.9
104.94,8,316,152.59
88.63,8,275,130.46
136.08,5,285,172.81
125.49,4,215,149.7
44.31,3,109,59.66
86.2,7,239,121.22
107.05,8,247,140.52
42.88,4,141,64.82
69.95,7,163,92.2
104.01,8,256,139.75
89.24,6,216,119.08
87.23,8,212,116.62
98.3,6,194,122.36
102.41,7,229,132.97
78.15,4,167,99.96
100.2,8,306,146.46
30.0,3,83,42.23
122.77,4,241,152.57
62.88,8,206,94.76
92.17,4,167,111.92
100.82,5,229,131.68
141.77,3,261,172.81
76.2,4,189,102.64
74.37,3,126,88.57
65.51,6,183,92.46
30.09,7,153,56.18
118.26,4,198,140.31
134.98,5,299,174.62
74.83,4,184,100.59
48.69,7,149,71.38
106.7,5,260,142.72
61.59,6,189,90.31
115.12,4,176,133.06
101.81,8,321,150.86
60.26,7,165,84.41
81.86,3,145,98.61
98.44,3,189,121.6
51.03,3,94,62.22
106.31,5,256,141.6
30.0,5,132,51.9
78.51,5,170,100.81
47.42,6,163,72.98
112.01,8,244,144.04
38.88,3,93,51.67
78.28,6,198,106.22
57.34,3,115,71.8
118.74,8,249,150.89
76.76,7,214,108.08
43.73,5,138,64.81
102.52,6,232,133.68
76.09,7,187,102.12
90.96,4,173,111.92
75.95,6,232,110.98
83.26,3,158,102.45
85.64,8,232,119.26
49.73,5,152,72.72
78.99,8,252,117.67
75.63,6,222,108.82
42.67,4,96,55.57
62.49,7,158,84.85
43.26,4,143,65.42
129.12,5,228,155.36
46.08,7,170,73.36
100.15,3,173,119.89
109.3,3,192,131.49
84.23,3,165,104.65
69.43,5,162,91.61
74.55,7,184,100.18
89.9,8,209,118.25
60.54,8,230,97.53
125.51,3,216,149.95
124.26,3,204,146.58
69.38,6,215,102.04
85.65,7,231,119.02
46.9,6,170,73.9
65.04,5,193,94.05
41.13,6,139,62.77
81.9,3,158,101.4
113.73,7,246,146.05
67.42,3,140,85.48
46.05,5,115,62.19
74.99,5,167,97.33
66.82,5,205,97.83
78.81,3,145,96.15
111.61,7,294,153.68
87.99,8,303,135.45
118.87,3,228,146.78
110.72,4,229,140.09
53.73,8,178,81.46
150.15,5,339,195.48
84.01,8,202,111.94
102.04,5,231,133.11
49.87,6,169,76.39
97.53,5,203,123.58
80.33,3,160,100.33
74.01,7,231,109.22
51.26,5,162,76.02
99.64,7,260,136.81
115.58,7,222,142.75
67.91,6,227,103.29
42.95,7,177,72.01
